##,##
time,IPktTime,CumLoss
14.199,46.0,2
14.215,16.0,2
14.262,47.0,2
14.277,15.0,2
14.324,47.0,2
14.34,16.0,2
14.387,47.0,2
14.402,15.0,2
14.449,47.0,2
14.465,16.0,2
14.511,46.0,2
14.527,16.0,2
14.574,47.0,2
14.589,15.0,2
14.636,47.0,2
14.652,16.0,2
14.683,31.0,2
14.745,62.0,2
14.777,32.0,2
14.823,46.0,2
14.839,16.0,2
14.886,47.0,2
14.901,15.0,2
14.948,47.0,2
14.964,16.0,2
15.011,47.0,2
15.026,15.0,2
15.074,48.0,2
15.09,16.0,2
15.136,46.0,2
15.152,16.0,2
15.199,47.0,2
15.246,47.0,2
15.261,15.0,2
15.308,47.0,2
15.324,16.0,2
15.355,31.0,2
15.402,47.0,2
15.417,15.0,2
15.448,31.0,2
15.495,47.0,2
15.511,16.0,2
15.558,47.0,2
15.573,15.0,2
15.62,47.0,2
15.636,16.0,2
15.667,31.0,2
15.714,47.0,2
15.729,15.0,2
15.776,47.0,2
15.792,16.0,2
15.823,31.0,2
15.87,47.0,2
15.885,15.0,2
15.963,78.0,2
15.979,16.0,3
16.026,47.0,3
16.041,15.0,3
16.089,48.0,3
16.105,16.0,3
16.136,31.0,3
16.167,31.0,3
16.198,31.0,3
16.245,47.0,3
16.261,16.0,3
16.307,46.0,3
16.354,47.0,3
16.37,16.0,3
16.385,15.0,3
16.417,32.0,3
16.448,31.0,3
16.479,31.0,3
16.526,47.0,3
16.541,15.0,3
16.573,32.0,3
16.605,32.0,3
16.652,47.0,3
16.667,15.0,3
16.714,47.0,3
16.73,16.0,3
16.776,46.0,3
16.792,16.0,3
16.823,31.0,3
16.854,31.0,3
16.886,32.0,3
16.917,31.0,3
16.964,47.0,3
16.979,15.0,3
17.01,31.0,3
17.057,47.0,3
17.074,17.0,3
17.121,47.0,3
17.136,15.0,3
17.183,47.0,3
17.199,16.0,3
17.245,46.0,3
17.261,16.0,3
17.308,47.0,3
17.323,15.0,3
17.355,32.0,3
17.401,46.0,3
17.417,16.0,3
17.464,47.0,3
17.479,15.0,3
17.526,47.0,3
17.542,16.0,3
17.589,47.0,3
17.604,15.0,3
17.651,47.0,3
17.667,16.0,3
17.713,46.0,3
17.729,16.0,3
17.776,47.0,3
17.791,15.0,3
17.838,47.0,3
17.854,16.0,3
17.901,47.0,3
17.916,15.0,3
17.963,47.0,3
17.979,16.0,3
18.025,46.0,3
18.041,16.0,3
18.088,47.0,3
18.104,16.0,3
18.151,47.0,3
18.167,16.0,3
18.214,47.0,3
18.245,31.0,3
18.292,47.0,3
18.307,15.0,3
18.335,28.0,3
18.389,54.0,3
18.4,11.0,3
18.413,13.0,3
18.444,31.0,3
18.467,23.0,3
18.492,25.0,3
18.518,26.0,3
18.547,29.0,3
18.569,22.0,3
18.595,26.0,3
18.645,50.0,3
18.661,16.0,3
18.692,31.0,3
18.739,47.0,3
18.754,15.0,3
18.785,31.0,3
18.817,32.0,3
18.863,46.0,3
18.879,16.0,3
18.926,47.0,3
18.941,15.0,3
18.988,47.0,3
19.004,16.0,3
19.051,47.0,3
19.066,15.0,3
19.114,48.0,3
19.13,16.0,3
19.176,46.0,3
19.192,16.0,3
19.239,47.0,3
19.254,15.0,3
19.301,47.0,3
19.317,16.0,3
19.379,62.0,3
19.395,16.0,3
19.442,47.0,3
19.457,15.0,3
19.488,31.0,3
19.535,47.0,3
19.551,16.0,3
19.598,47.0,3
19.613,15.0,3
19.644,31.0,3
19.691,47.0,3
19.707,16.0,3
19.754,47.0,3
19.8,46.0,3
19.816,16.0,3
